"kingdom","kingdomKey","phylum","phylumKey","class","classKey","order","orderKey","family","familyKey","genus","genusKey","species","speciesKey"
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Colletidae",7905,"Hylaeus",1349360,"Hylaeus modestus",1349446
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Chrysomelidae",7780,"Calligrapha",3261132,"Calligrapha bidenticola",4990876
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Halictidae",7908,"Halictus",1347978,"Halictus rubicundus",1353453
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Aphididae",3042,"Hyadaphis",2074110,"Hyadaphis tataricae",2074118
"Animalia",1,"Chordata",44,"Reptilia",358,"Squamata",715,"Colubridae",6172,"Opheodrys",2458586,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Clastopteridae",7736,"Clastoptera",2016995,"Clastoptera obtusa",2017316
"Animalia",1,"Chordata",44,"Actinopterygii",204,"Perciformes",587,"Percidae",4481,"Etheostoma",2382199,"Etheostoma flabellare",2382246
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Lycaenidae",5473,"Cyaniris",1928447,"Cyaniris neglecta",5139064
"Animalia",1,"Rotifera",91,"Eurotatoria",307,"Ploima",1235,"Synchaetidae",3887,"Polyarthra",1003101,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Sparganothis",1739599,"Sparganothis boweri",10596756
"Animalia",1,"Mollusca",52,"",NULL,"",NULL,"Bransoniidae",4620760,"Pojetaconcha",4620764,"Conocardium beecheri",9125265
"Animalia",1,"Chordata",44,"Aves",212,"Passeriformes",729,"Tyrannidae",5291,"Contopus",2483729,"",NULL
"Animalia",1,"Chordata",44,"Reptilia",358,"Squamata",715,"Natricidae",5789707,"Nerodia",2454456,"",NULL
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Polygyridae",2624,"Triodopsis",2295683,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Erebidae",4532185,"Idia",7535296,"",NULL
"Animalia",1,"Chordata",44,"Aves",212,"Galliformes",723,"Odontophoridae",9325,"Colinus",2474271,"Colinus virginianus",9791464
"Animalia",1,"Arthropoda",54,"Trilobita",9273948,"Ptychopariida",9583276,"Catillicephalidae",3267086,"Acheilops",4634727,"",NULL
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Limacidae",6537,"Limax",2295435,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Feralia",4301305,"Feralia major",8751100
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Olethreutes",1742061,"Olethreutes coruscana",1742157
"Animalia",1,"Chordata",44,"Aves",212,"Procellariiformes",7192755,"Hydrobatidae",5249,"Oceanodroma",2481998,"Oceanodroma castro",2482001
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Proteoteras",1748143,"Proteoteras crescentana",1748152
"Animalia",1,"Chordata",44,"Aves",212,"Charadriiformes",7192402,"Scolopacidae",5282,"Tringa",2481709,"Tringa flavipes",2481721
"Animalia",1,"Arthropoda",54,"Insecta",216,"Odonata",789,"Aeshnidae",4209,"Nasiaeschna",1424881,"Nasiaeschna pentacantha",1424882
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Agromyzidae",3329,"Liriomyza",1553283,"Liriomyza limopsis",10650934
"Animalia",1,"Mollusca",52,"Bivalvia",137,"Sphaeriida",10495862,"Sphaeriidae",3247675,"Sphaerium",2286706,"Sphaerium occidentale",5189019
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Tipulidae",7634,"Dolichopeza",1507759,"Dolichopeza obscura",1507990
"Animalia",1,"Mollusca",52,"Gastropoda",225,"",NULL,"Lymnaeidae",2852,"Galba",2291335,"Galba exigua",10004660
"Animalia",1,"Chordata",44,"Aves",212,"Pelecaniformes",7190953,"Pelecanidae",9329,"Pelecanus",10650925,"Pelecanus occidentalis",5229158
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Formicidae",4342,"Camponotus",1312361,"",NULL
"Animalia",1,"Porifera",105,"",NULL,"",NULL,"Labechiidae",3251651,"Labechia",4580342,"Labechia huronensis",8642865
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Cicadellidae",9647,"Gyponana",2025393,"Gyponana gladia",8877737
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Littorinimorpha",7390893,"Amnicolidae",4305027,"Lyogyrus",2300096,"Lyogyrus pupoideus",2300102
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Geometridae",6950,"Dysstroma",1962369,"Dysstroma hersiliata",1962490
"Animalia",1,"Chordata",44,"Aves",212,"Podicipediformes",7191588,"Podicipedidae",9338,"Podilymbus",2482075,"Podilymbus podiceps",2482077
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Erebidae",4532185,"Idia",7535296,"Idia julia",9432438
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Vertiginidae",3244262,"Vertigo",2293972,"Vertigo gouldi",2293985
"Animalia",1,"Arthropoda",54,"Insecta",216,"Trichoptera",1003,"Polycentropodidae",4400,"Polycentropus",1437832,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Cixiidae",8470,"Oliarus",2052480,"Oliarus quinquelineatus",7714238
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Olethreutes",1742061,"Olethreutes punctanum",1742304
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Cerambycidae",5602,"Trachysida",1145164,"Trachysida mutabilis",1145165
"Animalia",1,"Mollusca",52,"Cephalopoda",136,"",NULL,"Bassleroceratidae",4627767,"Bassleroceras",4627772,"Cyrtoceras acinacellum",9437962
"Animalia",1,"Chordata",44,"Aves",212,"Passeriformes",729,"Cardinalidae",9285,"Cardinalis",3241527,"Cardinalis cardinalis",2490384
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Aethes",1738265,"Aethes argentilimitana",5102735
"Animalia",1,"Arthropoda",54,"Trilobita",9273948,"Asaphida",9573072,"Raphiophoridae",3267157,"Lonchodomas",4635343,"Lonchodomas halli",8681075
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Geometridae",6950,"Metarranthis",1991279,"Metarranthis obfirmaria",1991298
"Animalia",1,"Arthropoda",54,"",NULL,"Araneae",1496,"Phrurolithidae",8234102,"Phrurotimpus",2149090,"Phrurotimpus borealis",2149095
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Pentatomidae",9650,"Chinavia",4782561,"Chinavia hilaris",10671194
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Dermestidae",9714,"Attagenus",1095947,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Nymphalidae",7017,"Polygonia",1898474,"Polygonia faunus",5129374
"Animalia",1,"Chordata",44,"Aves",212,"Anseriformes",1108,"Anatidae",2986,"Branta",2498190,"Branta hutchinsii",5232452
"Animalia",1,"Chordata",44,"Aves",212,"Charadriiformes",7192402,"Scolopacidae",5282,"Calidris",2481739,"Calidris alpina",2481759
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Acanaloniidae",3311,"Acanalonia",2064543,"Acanalonia bivittata",2064573
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Valloniidae",2617,"Vallonia",2296006,"Vallonia pulchella",2296010
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Ypsolophidae",5345,"Ypsolopha",3257328,"Ypsolopha falciferella",10346267
"Animalia",1,"Arthropoda",54,"",NULL,"Trombidiformes",543,"Hydryphantidae",7495,"Wandesia",2180523,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Trechus",1037288,"Trechus rubens",1037293
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Heliozelidae",6952,"Antispila",1861290,"Antispila oinophylla",8927100
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Colocasia",7384515,"Colocasia propinquilinea",5114192
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Geometridae",6950,"Macaria",3256294,"Macaria bisignata",9366016
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Papaipema",1777971,"Papaipema rigida",1777982
"Animalia",1,"Arthropoda",54,"Insecta",216,"Neuroptera",1501,"Sisyridae",6180,"Climacia",2096972,"Climacia areolaris",5164397
"Animalia",1,"Chordata",44,"Aves",212,"Charadriiformes",7192402,"Stercorariidae",9347,"Stercorarius",2481608,"Stercorarius parasiticus",2481621
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Tenthredinidae",7918,"Caliroa",1249681,"Caliroa cerasi",1249682
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Coccinellidae",7782,"Mulsantina",1043703,"Mulsantina hudsonica",4990229
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Lycidae",7836,"Greenarus",4736962,"Greenarus thoracicus",7601292
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Nymphalidae",7017,"Speyeria",1905150,"Speyeria idalia",1905162
"Animalia",1,"Mollusca",52,"Monoplacophora",347,"Tryblidiida",1413,"Tryblidiidae",3246223,"Tryblidium",3246224,"Tryblidium ovale",5932145
"Animalia",1,"Arthropoda",54,"Insecta",216,"Orthoptera",1458,"Tettigoniidae",3991,"Conocephalus",1682933,"Conocephalus nigropleurum",5095987
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Cucullia",1763285,"Cucullia convexipennis",5109596
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Asilidae",7275,"Ceraturgus",1661272,"Ceraturgus similis",5091674
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Nymphalidae",7017,"Oeneis",1895260,"Oeneis jutta",5128357
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Staphylinidae",7854,"Ontholestes",4437460,"Ontholestes cingulatus",8284436
"Animalia",1,"Arthropoda",54,"Insecta",216,"Neuroptera",1501,"Mantispidae",5470,"Climaciella",2108352,"Climaciella brunnea",2108364
"Animalia",1,"Chordata",44,"Aves",212,"Caprimulgiformes",8510645,"Caprimulgidae",5225,"Antrostomus",4843144,"Antrostomus vociferus",6101178
"Animalia",1,"Arthropoda",54,"Insecta",216,"Odonata",789,"Coenagrionidae",8577,"Enallagma",8327918,"Enallagma durum",5051259
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Amara",1035151,"Amara aeneopolita",1035274
"Animalia",1,"Mollusca",52,"Gastropoda",225,"",NULL,"Valvatidae",2699,"Valvata",1434828,"Valvata confusa",7691347
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Pentagonica",1035680,"Pentagonica picticornis",1035685
